PID: 3, TP: 378, CP: 379, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 2622
PID: 3, TP: 467, CP: 468, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 2533
PID: 4, TP: 44, CP: 45, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 2956
PID: 4, TP: 139, CP: 140, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 2861
PID: 3, TP: 467, CP: 468, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 2533
PID: 5, TP: 302, CP: 303, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 7698
PID: 5, TP: 342, CP: 343, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 7658
PID: 2, TP: 273, CP: 274, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 6727
PID: 4, TP: 139, CP: 140, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 2861
PID: 6, TP: 97, CP: 98, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 1903
PID: 6, TP: 379, CP: 380, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 1621
PID: 5, TP: 342, CP: 343, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 7658
PID: 7, TP: 569, CP: 570, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 4431
PID: 7, TP: 794, CP: 795, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 4206
PID: 7, TP: 794, CP: 795, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 4206
PID: 6, TP: 379, CP: 380, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 1621
PID: 7, TP: 794, CP: 795, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 4206
PID: 7, TP: 1066, CP: 1067, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 3934
PID: 8, TP: 74, CP: 75, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 3926
PID: 8, TP: 93, CP: 94, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 3907
PID: 7, TP: 1066, CP: 1067, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 3934
PID: 8, TP: 93, CP: 94, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 3907
PID: 9, TP: 153, CP: 154, Estado: EXECUTANDO, NES: 2, N_CPU: 3, Tempo Restante: 9847
PID: 9, TP: 159, CP: 160, Estado: BLOQUEADO, NES: 3, N_CPU: 3, Tempo Restante: 9841
PID: 9, TP: 159, CP: 160, Estado: PRONTO, NES: 3, N_CPU: 3, Tempo Restante: 9841
PID: 9, TP: 159, CP: 160, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 9841
PID: 9, TP: 242, CP: 243, Estado: BLOQUEADO, NES: 4, N_CPU: 4, Tempo Restante: 9758
PID: 9, TP: 242, CP: 243, Estado: PRONTO, NES: 4, N_CPU: 4, Tempo Restante: 9758
PID: 9, TP: 242, CP: 243, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 9758
PID: 9, TP: 385, CP: 386, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 9615
PID: 9, TP: 385, CP: 386, Estado: PRONTO, NES: 5, N_CPU: 5, Tempo Restante: 9615
PID: 9, TP: 385, CP: 386, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 9615
PID: 9, TP: 575, CP: 576, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 9425
PID: 0, TP: 680, CP: 681, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 9320
PID: 0, TP: 733, CP: 734, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 9267
PID: 0, TP: 733, CP: 734, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 9267
PID: 9, TP: 575, CP: 576, Estado: PRONTO, NES: 6, N_CPU: 6, Tempo Restante: 9425
PID: 0, TP: 733, CP: 734, Estado: EXECUTANDO, NES: 6, N_CPU: 7, Tempo Restante: 9267
PID: 0, TP: 796, CP: 797, Estado: BLOQUEADO, NES: 7, N_CPU: 7, Tempo Restante: 9204
PID: 0, TP: 796, CP: 797, Estado: PRONTO, NES: 7, N_CPU: 7, Tempo Restante: 9204
PID: 0, TP: 796, CP: 797, Estado: EXECUTANDO, NES: 7, N_CPU: 8, Tempo Restante: 9204
PID: 0, TP: 909, CP: 910, Estado: BLOQUEADO, NES: 8, N_CPU: 8, Tempo Restante: 9091
PID: 0, TP: 909, CP: 910, Estado: PRONTO, NES: 8, N_CPU: 8, Tempo Restante: 9091
PID: 0, TP: 909, CP: 910, Estado: EXECUTANDO, NES: 8, N_CPU: 9, Tempo Restante: 9091
PID: 0, TP: 964, CP: 965, Estado: BLOQUEADO, NES: 9, N_CPU: 9, Tempo Restante: 9036
PID: 0, TP: 964, CP: 965, Estado: PRONTO, NES: 9, N_CPU: 9, Tempo Restante: 9036
PID: 1, TP: 375, CP: 376, Estado: EXECUTANDO, NES: 5, N_CPU: 6, Tempo Restante: 4625
PID: 1, TP: 413, CP: 414, Estado: BLOQUEADO, NES: 6, N_CPU: 6, Tempo Restante: 4587
PID: 2, TP: 273, CP: 274, Estado: EXECUTANDO, NES: 4, N_CPU: 5, Tempo Restante: 6727
PID: 2, TP: 357, CP: 358, Estado: BLOQUEADO, NES: 5, N_CPU: 5, Tempo Restante: 6643
PID: 3, TP: 467, CP: 468, Estado: EXECUTANDO, NES: 3, N_CPU: 4, Tempo Restante: 2533
